ID,Title,Author,Date,Votes,Tags
40162,The reading mode is not started by default.,poto,2019-09-11T02:53:19.500Z,2,READER VIEW
40167,Add a sort button to the note page,poto,2019-09-11T03:28:54.408Z,1,NOTES:PIPELINE
40169,Disable "search-ready omnibox",madiso,2019-09-11T04:12:12.539Z,1,ADDRESS BAR
40166,Provide an option to turn off the notification bar to turn off all private tabs,poto,2019-09-11T03:01:21.412Z,0,TABS:PRIVACY:NOTIFICATIONS
40172,More Payment Options,Innertuber40,2019-09-11T05:34:21.686Z,1,
40161,Tab page long press delete tab,poto,2019-09-11T02:50:29.831Z,0,TABS:SHORTCUTS:GESTURE
40173,Separate default Private and Regular search engines,Innertuber40,2019-09-11T05:42:27.974Z,1,SEARCH ENGINES
38732,Save Browsing History,Folgore101,2019-07-09T17:22:36.926Z,15,SETTINGS:MOBILE:HISTORY
40185,Disabling history,kmrni,2019-09-11T08:02:33.215Z,0,PRIVACY:HISTORY
40189,Option to disable direct download.,deppigiu,2019-09-11T11:08:53.862Z,1,DOWNLOADS
40183,Dark mode for web content,kmrni,2019-09-11T07:49:52.059Z,6,IN PROGRESS
40210,Add intent receiver that allows saving to a note (any selected text 🢂 Share 🢂 Vivaldi Notes),ROTFL,2019-09-11T17:24:18.299Z,2,
40212,Rearrange buttons on the GUI,Nekomajin,2019-09-11T17:48:27.068Z,7,
40060,Make Vivaldi for android a service to autofill passwords from other apps,jaibamon,2019-09-09T17:09:40.985Z,0,PASSWORDS
40078,Option to use Private mode by default,Stardust,2019-09-09T20:13:29.393Z,7,PRIVACY
40244,Read-only mode for browsing notes,ROTFL,2019-09-12T08:59:54.176Z,0,NOTES
40245,Extension's & option to change BG,Deniel,2019-09-12T09:04:51.002Z,3,
40136,Tab switch by swiping from the edge,NogrtL,2019-09-10T15:12:58.863Z,4,TAB CYCLING:GESTURE
40192,Edit the function buttons.,MattSolo45,2019-09-11T11:40:53.675Z,10,
40141,Panel selector at the bottom,pauloaguia,2019-09-10T17:17:05.094Z,5,TOOLBAR:USER INTERFACE
40240,Option to Disable Accent Colours from Active Site,marek.gontarczyk,2019-09-12T08:13:05.937Z,6,THEMES
25350,Mobile Browser Version,szenfner,2018-02-22T13:04:44.849Z,143,SYNC:MOBILE:IN PROGRESS:ANDROID
40292,All toolbars always visible,venetin,2019-09-12T18:39:55.112Z,0,TOOLBAR
32025,Native adblocking,hexianpeel,2018-11-07T15:47:41.187Z,103,MOBILE:ADBLOCK
40165,Vivaldi beta changed its name to Vivaldi snapshot,poto,2019-09-11T02:58:26.125Z,2,
40350,Translation feature,kyu3a,2019-09-13T14:42:46.626Z,3,
32057,Support for Andriod Autofill framework,Rafale,2018-11-08T11:20:58.475Z,10,MOBILE
40344,Image control,shoust,2019-09-13T13:56:59.330Z,2,
40319,Separate Notes from phone app  for easier direct access,aeiou,2019-09-13T05:23:39.741Z,1,NOTES
40056,Swipe to close a tab,algeron,2019-09-09T16:23:45.449Z,37,
37546,Send button to devices synchronized as in Microsoft Edge on Android.,MattSolo45,2019-05-20T14:59:57.600Z,8,SYNC:BROWSERS
40253,Speed dial/Bookmarks folders navigation,ChimeraLove,2019-09-12T09:44:02.329Z,9,
35781,Force desktop version of a site.,luetage,2019-03-25T19:26:52.294Z,22,MOBILE
40377,Option to disable autoplay video,mariuszkujawa,2019-09-14T09:33:30.351Z,6,VIDEO
40148,Customizable search engines,jcprevel,2019-09-10T19:13:36.169Z,21,PIPELINE
40390,Possibility to use the profiles,PIERREV,2019-09-14T15:09:20.269Z,5,PROFILES
40119,Vivaldi SystemWebView,MattSolo45,2019-09-10T09:54:05.006Z,2,
40389,Remove device name from user agent,dewey,2019-09-14T14:46:40.008Z,3,
40412,Option to open new tabs in foreground mode,Musikolo,2019-09-15T06:04:32.992Z,3,
40396,Share function not yet everywhere,stardepp,2019-09-14T17:39:42.452Z,1,
40417,Built in RSS Feed,luetage,2019-09-15T10:13:46.444Z,14,
40115,Long-press tabs icon to open new tab,tony.kirov,2019-09-10T08:30:47.221Z,11,
40023,Allow few layouts for speed dials,Hadden89,2019-09-09T10:12:44.776Z,35,
40429,Catalonian translation.,tomjoma,2019-09-15T18:29:48.193Z,0,
31296,Reader View for Vivaldi Mobile,antoine.luboz,2018-10-16T09:37:30.148Z,25,IN PROGRESS:READER VIEW
32053,Text Wrap option,dmitrik,2018-11-08T10:40:07.550Z,51,MOBILE
40452,Make browsing experience same as Vivaldi for PC,stilgarwolf,2019-09-16T10:00:05.602Z,0,
40387,Cookie dialog blocker,dewey,2019-09-14T14:37:01.390Z,7,COOKIES
40073,Option to clear cookies on exit,luetage,2019-09-09T20:02:10.303Z,19,PRIVACY:COOKIES
40455,New Session when starting,hossow,2019-09-16T12:17:38.528Z,0,
40453,Cookie and site settings from lock icon at the beginning of the address bar,Zsul,2019-09-16T10:43:34.835Z,0,
40374,Dark mode that dims the screen,frankwest,2019-09-14T07:29:37.173Z,3,
40460,Acces Notes 1 click away not 2 as it currently stands,colombiacanada,2019-09-16T14:16:49.100Z,0,
40464,Search engines,summoner,2019-09-16T15:18:26.755Z,0,
