ID,Title,Author,Date,Votes,Tags
32543,Drag Image to add Note Attachment,LonM,2018-11-26T13:56:39.397Z,6,NOTES:ATTACHMENTS,1,280
32951,Open Tab in Background from History Panel with Middle-click,Gregor,2018-12-11T21:34:18.216Z,6,HISTORY:TAB:MIDDLE-CLICK:BACKGROUND TAB:HISTORY PANEL,2,261
28611,Web Panel Manager,kyu3a,2018-07-11T13:20:57.732Z,5,PANELS,3,718
29768,Option to detect page title notifications on Window Panel,CheVe11e_191,2018-09-03T18:16:45.490Z,4,SETTINGS:NOTIFICATIONS:PANEL:WINDOWS PANEL,1,367
30903,Better Auto Hide/Show Panels Functions,dude99,2018-10-05T16:23:34.535Z,5,PANELS:AUTO-HIDE,2,442
31020,Allow Shortcuts to Work in Panels,potmeklecbohdan,2018-10-08T19:56:05.701Z,5,SHORTCUTS:PANELS,2,294
36902,Please stop pulling focus from main window to panel on notification,flooners,2019-04-29T18:43:15.308Z,5,BUG:WEB PANELS:FOCUS:URL BAR,6,359
44238,1: Disassemble Horizontal Bars (Address Title Status) into Panel + 2: Panel Icons Grouping,ChimeraLove,2020-02-16T17:20:45.797Z,5,,18,245
26219,"Move tabs to..." option for Windows Manager,ozoratsubasa,2018-03-27T01:38:33.745Z,4,PANELS:WINDOW,2,762
24668,Autohiding the Web Panel Toolbar,Seasonly,2018-02-04T10:01:57.140Z,4,PANELS:TOOLBAR:AUTO-HIDE,3,905
26022,Reorder content of Download panel,ROTFL,2018-03-20T11:56:24.638Z,4,PANELS:GUI:DOWNLOADS,1,493
29558,Display File Previews After Download is Completed!,Tchelows,2018-08-23T15:35:53.887Z,4,PANELS:DOWNLOADS:PREVIEW,1,337
30388,Option to set public context for web panels in private windows,valiowk,2018-09-26T16:54:52.932Z,4,PANELS:PRIVATE WINDOW,2,383
30949,Show Download Info Even for Small Panels,ZECK,2018-10-06T15:45:12.351Z,4,PANELS:DOWNLOADS,1,340
30972,Show Favicon in Linked Notes,Seasonly,2018-10-07T09:38:08.822Z,3,PANELS:NOTES:FAVICONS,3,345
31651,Possibility to set Markdown individually,CheVe11e_191,2018-10-25T21:19:36.070Z,4,PANELS:NOTES:MARKDOWN,1,302
