ID,Title,Author,Date,Votes,Tags
33884,Disable Tab Cycler With Two Tabs,fuller1754,2019-01-17T17:06:28.962Z,3,TAB CYCLING:TABS HIBERNATIO
30787,Custom Page Tiling Layouts,jwoodard80,2018-10-02T19:04:01.987Z,8,TABS:TILING:TILED TABS
28208,Rename Tabs,Pesala,2018-06-25T17:39:57.928Z,31,TABS:RENAME
24367,Double-click Tab Bar to Open New Tab,ugly,2018-02-01T05:52:53.262Z,8,BUG:NEW TAB:DOUBLE-CLICK
33783,New tab by double clicking the blank space of the tab bar...,TsunamiZ,2019-01-12T13:55:06.113Z,0,
31500,Splitting Tiles  and More Tiling Options,hebgbs,2018-10-22T06:51:34.011Z,0,TILING
33747,When closing tabs  allow option to keep width of tabs the same until you mouse out of the tab bar,uglook,2019-01-10T20:12:19.524Z,0,
33416,Option to allow closing pinned tabs with confirmation,alexander.gorbovets,2018-12-26T01:48:59.642Z,1,PINNED TABS
24334,Create New Window on Dropping Tabs onto Page,AltCode,2018-01-31T21:19:57.185Z,12,TABS:DRAGANDDROP:NEW WINDOW
33587,Automatically Tile Tabs without Selection,luetage,2019-01-04T16:56:50.729Z,6,TABS:SHORTCUTS:TILING
33616,Automatically hibernate new tabs if number of open tabs exceeds X,Darkmatter,2019-01-06T07:13:03.882Z,4,HIBERNATION:BACKGROUND TAB:HIBERNATE
33575,Quick Commands for Tab Stacking and Tiles,cellyforever,2019-01-04T04:38:55.479Z,0,TABS:TAB STACKS:QUICK COMMANDS
33531,Joining Many Tabs Using the Mouse,ksus,2019-01-01T18:50:45.817Z,0,TABS:TAB STACKS:SESSIONS
33539,Disable Tabs,buzzb,2019-01-01T23:49:44.015Z,0,TABS
29800,Increase Max Width of Vertical Tab Bar,Tinsmith,2018-09-05T07:05:10.825Z,1,TAB BAR
33384,Prefix Quick Command to Find Tabs,hesxenon,2018-12-24T15:04:04.761Z,1,TABS:SHORTCUTS:QUICK COMMANDS
32855,Option for Automatic Tab Hibernation,terere,2018-12-09T07:33:30.776Z,6,TABS:HIBERNATION
33371,Relational New Tab and Close Tab Options,HonoredMule,2018-12-23T19:24:36.292Z,0,TABS:NEW TAB:POSITION
33322,Option to disable "Mute Tab" button,pzmarzly,2018-12-21T23:49:35.480Z,2,TABS:MUTE
24298,Show Pinned Tabs as Icons on Vertical Tab Bar,Flex,2018-01-31T18:27:48.495Z,16,TAB BAR:ICONS:PINNED TABS
32956,Animation of opening/closing tabs,Gregor,2018-12-11T21:57:50.415Z,7,TABS:CLOSE TABS:ANIMATIONS:OPENING
33108,Make Stacking Tabs Quicker,LiorL,2018-12-16T00:31:49.408Z,8,TABS:TAB STACKS
